isbn,name,author,publisher,year,language,pages,format,review,price,url,topic
9789563606843,Tu cabeza te engaña,Pamela nuñez,Planeta,2019.0,Español,104.0,Libro físico,"¿Te ha pasado que los días previos a un evento importante te costaba conciliar el sueño y peleabas con tu mente ansiosa imaginando mil escenarios con el clásico «y si...»? ¿Y que, una vez ocurrida, la situación resultó ser bastante menos dramática? Si es así, en estas páginas te sentirás plenamente identificado y muy aliviado al comprender los mecanismos por los cuales tu cabeza te engaña y, muy importante, cómo neutralizarlos. Si bien pensar es una de las tareas a la que más tiempo destinamos, parece que es de las que peor realizamos. Hoy más que nunca nuestra increíble capacidad de razonar, en vez de protegernos, nos está llevando al límite. Ya no tenemos mamuts ni malaria acechándonos, pero vivimos inventando los más terribles escenarios, que terminan por deteriorar nuestra salud. Ni siquiera un fármaco logrará su óptimo efecto si no aprendemos a reconocer y lidiar con los engaños mentales. Casi todo lo que creemos fue aprendido en algún momento y es posible desaprenderlo si nos daña. Este libro muestra cómo la mente puede convertirse en una llave maestra para vivir mejor y cómo reconocer cuando está actuando en nuestra contra como si en vez de ser nuestra aliada, fuera nuestra peor enemiga. «Si tu cabeza te engaña para mal… engáñala para bien».",8420,https://www.buscalibre.cl/libro-tu-cabeza-te-engana/9789563606843/p/52236889,espiritualidad-y-auto-ayuda
9789563608595,Nutrición emocional,Fran sabal,Planeta,2021.0,Español,270.0,Libro físico,"¿Por qué el crecimiento personal es clave a la hora de querer adelgazar? Es imposible reflejar fuera lo que no tenemos dentro, por lo cual, si queremos cambiar nuestro cuerpo, el primer paso es comenzar a trabajar en nuestro interior. Nutrición emocional es un método probado que trabaja en cuatro niveles: mental, emocional, nutricional y espiritual, entendiendo al ser humano como un todo y no simplemente como un número o una talla. A lo largo de estas páginas, trabajaremos con herramientas de Salud, Nutrición, PNL, Mindfulness, Mindful Eating, Coaching e Inteligencia Emocional, para que así descubras, de forma natural y sencilla, cómo sanar tu relación con la comida, tu cuerpo y tu peso, recuperando tu autoestima, liberándote de la ansiedad y la culpa a la hora de comer y despertando tu propia sabiduría nutricional. Bienvenido a este viaje de autoconocimiento y autocuidado",11820,https://www.buscalibre.cl/libro-nutricion-emocional/9789563608595/p/53166794,espiritualidad-y-auto-ayuda
9789563609271,Historia de un milagro,Cristián arriagada,Planeta,2021.0,Español,140.0,Libro físico,"El año 2019, la periodista Javiera Suárez dejó este mundo luego de una dura batalla contra el cáncer, que mantuvo en vilo a todo el país. Sin embargo, antes de su partida, se produjo un milagro: el nacimiento de su hijo Pedro, el único niño en el mundo en nacer de una madre con un cáncer melanoma avanzado y tratamiento con inmunoterapia. Dos años después, Cristián Arriagada, marido de Javiera y padre de Pedro, configura este conmovedor relato en forma de cartas dirigidas a su hijo, con la mirada puesta en el futuro, imaginándolo como un adolescente lleno de preguntas y ganas de saber más acerca de su identidad, su origen y su historia. Historia de un milagro constituye una narración llena de vívidas anécdotas y profundas reflexiones en torno a la inevitabilidad de la muerte, el proceso de duelo, el aprendizaje y desarrollo de la resiliencia, el poder del optimismo y el tremendo valor de saber mirar el dolor como una oportunidad.",10970,https://www.buscalibre.cl/libro-historia-de-un-milagro/9789563609271/p/53269060,espiritualidad-y-auto-ayuda
9789501519914,La Inteligencia Emocional,Daniel goleman,Vergara,2004.0,Español,397.0,Libro físico,"En este fascinante y persuasivo libro, Daniel Goleman sostiene que nuestra visión de la inteligencia humana es estrecha, pues soslaya un amplio abanico de capacidades esenciales para la vida. Soslaya lo que él llama inteligencia emocional.Apoyándose en la más moderna investigación sobre el cerebro y la conducta, el autor explica por qué personas con un elevado coeficiente intelectual fracasan en sus empresas vitales, mientras que otras con un CI más modesto triunfan clamorosamente. La inteligencia emocional es una forma de interacción con el mundo que tiene muy en cuenta los sentimientos, y engloba habilidades tales como el control de los impulsos, la autoconciencia, la motivación, el entusiasmo, la perseverancia, la empatía, la agilidad mental, etc. Ellas configuran rasgos de carácter como la autodisciplina, la compasión o el altruismo, que resultan indispensables para una buena y creativa adaptación social.El déficit de inteligencia emocional repercute en mil aspectos de la vida cotidiana, desde problemas matrimoniales hasta trastornos de salud. El descuido de la inteligencia emocional puede arruinar muchas carreras y, en el caso de niños y adolescentes, conducir a la depresión, trastronos alimentarios, agresividad, delincuencia. Ahora bien, todos podemos fomentar y robustecer nuestra inteligencia emocional, y el autor nos proporciona una amplia y detallada guía para conseguirlo. Basándose en la forma en que los niños aprenden a modelar sus circuitos cerebrales, Goleman nos enseña también un programa pedagógico para el desarrollo integral del ser humano. El futuro no está escrito en ninguna parte; la inteligencia emocional no es un parámetro fijado desde el momento del nacimiento: cabe desarrollarla, cuidarla, fomentarla.",11050,https://www.buscalibre.cl/libro-la-inteligencia-emocional/9789501519914/p/1736906,espiritualidad-y-auto-ayuda
9789502805924,"Poder del Ahora, el",Tolle eckhart,Grijalbo,2000.0,Español,256.0,Libro físico,"El poder del ahora es un libro único. Tiene la capacidad de crear una experiencia en los lectores y de cambiar su vida. Hoy ya es considerado una obra maestra. Su autor, Eckhart Tolle, se convirtió en un maestro universal, un gran espíritu con un gran mensaje: se puede alcanzar un estado de iluminación aquí y ahora. Es posible vivir libre del sufrimiento, libre de la ansiedad y la neurosis. Para lograrlo sólo tenemos que comprender nuestro papel de creadores de nuestro dolor. Es nuestra propia mente la que causa nuestros problemas con su corriente constante de pensamientos, aferrándose al pasado, preocupándose por el futuro. Cometemos el error de identificarnos con ella, de pensar que eso es lo que somos, cuando de hecho somos seres mucho más grandes. Escrito en un formato de preguntas y respuestas que lo hace muy accesible, El poder del ahora es una invitación a la reflexión, que le abrirá las puertas a la plenitud espiritual y le permitirá ver la vida con nuevos ojos y empezar a disfrutar del verdadero poder del ahora. #Este libro puede verse como una nueva exposición para nuestro tiempo de la enseñanza espiritual atemporal que es la esencia de todas las religiones. No se deriva de fuentes externas, sino del interior de la verdadera Fuente, así que no contiene ni teoría ni especulación. Hablo desde mi experiencia interna, y si a veces soy fuerte en lo que digo, es para poder cortar las gruesas capas de resistencia mental y así llegar al lugar en su interior donde usted sabe de verdad, así como sé yo, y donde la verdad se reconoce tan pronto se escucha. Entonces allí hay una sensación de exaltación y vida intensa, como si algo dentro de usted dijera: #Sí, sé que esto es cierto#.# Eckhart Tolle",13600,https://www.buscalibre.cl/libro-poder-del-ahora-el/9789502805924/p/8745620,espiritualidad-y-auto-ayuda
9789569977442,Muchas Vidas Muchos Maestros,Brian weiss,Ediciones b,,Español,224.0,Libro físico,"El doctor Brian Weiss, jefe de psiquiatría del hospital Mount Sinai de Miami, relata en éste, si primer libro, una asombrosa experiencia que cambió por completo su propia vida y su visión de la psicoterapia.",11050,https://www.buscalibre.cl/libro-muchas-vidas-muchos-maestros/9789569977442/p/50769358,espiritualidad-y-auto-ayuda
9789563608076,Tu cabeza te engaña con cuática,Pamela núñez,Planeta,2020.0,Español,140.0,Libro físico,"¿Eres de los que razonan en términos absolutos o dramáticos? ¿De los que sufren pagando las consecuencias de decisiones tomadas sin tener suficiente información? ¿O de los que, tercos como mula y con mil argumentos en contra, siguen viendo solo lo que quieren ver? Adivina: ¡Tu cabeza te engaña con cuática! Nos creemos muy racionales, pero con demasiada frecuencia nos autoboicoteamos sin cuestionar siquiera la validez de nuestros absurdos razonamientos. Calibrar significa asignar el peso que le corresponde a las cosas de acuerdo a su real dimensión, diferenciando las que tienen verdadero valor de aquellas a las que erróneamente prestamos atención. Es decir, «que lo más importante sea lo más importante». Afortunadamente, la Terapia Cognitiva Conductual describe muy bien los mecanismos mediante los cuales distorsionamos las experiencias, y cómo podemos convertirnos en maestros del buen razonar. Este es un manual escrito en un lenguaje accesible para cualquier lector que esté interesado en mejorar su calidad de razonamiento y de vida. Incluye además un cuaticómetro, herramienta especialmente diseñada para que puedas medir −usando un poco de humor− qué tanto color le pones (o no) a las cosas. ¡No basta con simples tips! La educación emocional es inversión segura en salud y felicidad, y la única fórmula probada para construir un futuro cuáticamente mejor. «Si tu cabeza te engaña para mal... puedes aprender a engañarla para bien».",8830,https://www.buscalibre.cl/libro-tu-cabeza-te-engana-con-cuatica/9789563608076/p/53052242,espiritualidad-y-auto-ayuda
9789563604719,Las emociones me tienen gordo y enfermo,Sergi recasens,Planeta,2014.0,Español,316.0,Libro físico,"¿Estás tomando medicamentos y no sientes ninguna mejoría? Este libro puede ser el viaje que cambiará tu vida Este libro es un nuevo viaje. Uno que hizo José junto a cinco personas para descubrir el origen emocional de condiciones y enfermedades tan diversas como obesidad, fibromialgia, estrés, diabetes, hipotiroidismo o esclerosis múltiple, pero también, y más importante, cómo resolverlas. Así como tú, hay millones de personas sufriendo día a día dolores y malestares inexplicables. La mayoría no encuentra en la medicina moderna respuestas ni esperanzas. Tras sus exitosos libros Los mitos me tienen gord@ y enferm@ y Tu salud en los nuevos tiempos, Pedro Grez y Sergi Recasens vuelven para contar una nueva historia para sanar a l@s chilen@s.",5080,https://www.buscalibre.cl/libro-las-emociones-me-tienen-gordo-y-enfermo/9789563604719/p/50163607,espiritualidad-y-auto-ayuda
9789563605754,La libertad de ser quien soy,Pilar sordo,Planeta,2019.0,Español,164.0,Libro físico,"La pregunta por la libertad es algo que ha perseguido al ser humano desde sus inicios; ¿podemos ser realmente libres?, ¿es ser libre hacer lo que queramos?, ¿de qué manera nuestra libertad afecta la del resto? En esta nueva aventura, Pilar Sordo les hace frente a estas incógnitas, entendiendo que ser libre es básicamente vivir de manera consciente y sin miedos. Ahora bien, en este camino hacia la libertad nos encontraremos con muchas barreras; por un lado con aquellos “anestésicos” emocionales que nos hacen perder contacto con nosotros mismos, y, por otro, con una sociedad que está enfocada en formar modelos que le sean funcionales. Superar estos mandatos y vencer esas culpas y miedos es el llamado que hace La libertad de ser quien soy.  En esta misma línea, esta caminata busca también actualizar las diferencias entre lo masculino y lo femenino, abordando la forma en que la cultura patriarcal determina la libertad tanto de hombres como mujeres.",5000,https://www.buscalibre.cl/libro-la-libertad-de-ser-quien-soy/9789563605754/p/51504618,espiritualidad-y-auto-ayuda
9789563604153,Cree en ti. Descubre el Poder de Transformar tu Vida,Rut nieves,Planeta,2014.0,Español,256.0,Libro físico,"La nueva voz de la autoayuda. ¿Por qué hay personas que consiguen fácilmente lo que quieren y otras no?  ¿Estás harto de que tu vida no cambie? Mientras no tomes conciencia de quién eres y no te ocupes de conocerte, serás una marioneta de tu subconsciente. Cree en ti no es un libro de autoayuda. Cree en ti es un libro de autoempoderamiento. «¿Cómo será mi vida dentro de diez años si sigo haciendo lo mismo? La respuesta fue tan clara que con 35 años lo dejé todo por ir en busca de mí misma, de eso que tanto me faltaba. Dejé mi trabajo como arquitecta, mi piso, mi ciudad, mi país y las personas que más quería. Y me fui a vivira los bosques de la Selva Negra en busca de respuestas. Allí empecé a conectar con mi esencia y con lo que yo realmente amaba. Y a partir de ahí, todas las respuestas llegaron juntas. Un año antes de empezar a escribir este libro entendí por qué mi vida había llegado hasta ese punto. Por qué no había conseguido vivir mis grandes sueños. Entendí cómo las creencias que absorbió mi mente durante los siete primeros años de vida habían dirigido y condicionado el resto de mi vida.»",13600,https://www.buscalibre.cl/libro-cree-en-ti-descubre-el-poder-de-transformar-tu-vida/9789563604153/p/49158975,espiritualidad-y-auto-ayuda
